model,semi
5-0495,Semi
5-0505,PRL
5-0508,PRL
5-0511,Semi
5-0517,PRL
5-0520,Semi
5-0526,PRL
5-0528,Semi
5-0529,PRL
5-0530,PRL
5-0531,PRL
5-0532,PRL
5-0534,PRL
5-0540,PRL
5-0555,PRL
5-0557,PRL
5-0575,PRL
5-0583,PRL
5-0589,PRL
5-0593,PRL
5-0597,PRL
5-0598,PRL
5-0599,PRL
5-0601,Ein
5-0608,PRL
5-0609,PRL
5-0610,PRL
5-0611,PRL
5-0613,PRL
5-0618,PRL
5-0624-A,PRL
5-0640,Semi
5-0647,Semi
5-0667,Semi
5-0671,Semi
5-0672,Semi
5-0673,Semi
5-0675,Semi
5-0676,Semi
5-0677,Semi
5-0680,Semi
5-0681,Semi
5-0682,Semi
5-0683,Semi
5-0684,Semi
5-0685,Semi
5-0686,Semi
5-0687,Semi
5-0688,Semi
5-0721,Semi
5-0722,Semi
5-0723,Semi
5-0724,PRL
5-0727,Semi
5-0736,Semi
5-0737,Semi
5-0738,Semi
5-0739,Semi
5-0740,Semi
5-0741,Semi
5-0743,Semi
5-0745,Semi
5-0746,Semi
5-0747,Semi
5-0749,Semi
5-0750,Semi
5-0751,Semi
5-0754,Semi
5-0757,Semi
5-0758,Semi
5-0759,Semi
5-0760,Semi
5-0761,Semi
5-0815,Semi
5-0816,Semi
5-0817,Semi
5-0820-B,Ein
5-0834,Semi
5-0852,Semi
5-0857,Semi
5-0858,Semi
5-0859,Semi
5-0860,Semi
5-0861,Semi
5-0871,Semi
5-0880,Semi
5-0881,Semi
5-1006,Semi
5-1037,Semi
5-1047,Semi
5-1053,Semi
5-1059,Faroz
5-1061,Faroz
5-1065,Semi
5-1067,Semi
5-1069,Malachite
5-1084,Semi
5-1088-a,Malachite
5-1104,Semi
5-1108,Semi
5-1115,Semi
5-1116,Semi
5-1125,Semi
5-1146,Semi
5-1153,Semi
5-1161,Semi
5-1177,Semi
5-1184,Semi
5-1189,Semi
5-1191,PRL divided
5-1199,Semi
5-1200,Semi
5-1209,Semi
5-1210,PRL
5-1215-B,Semi
5-1228,Semi
5-1232,Semi
5-1241,Semi
5-1248,Sadaf
5-1257,Semi
5-1258,Semi
5-1275,Semi
5-1280,Faroz
5-1282,Sadaf
5-1299,Semi
5-1305,Semi
5-1306,Semi
5-1331-a,Sadaf & Onyx
5-1331-b,Sadaf & Malachite
5-1332,Malachite
5-1333,Sadaf & Onyx
5-1334,Semi
5-1338-a,Semi 1/4 Pound
5-1338-B,Semi 1/2 Pound
5-1338-C,Semi 1 Pound
5-1343,sadaf
5-1343,Sadaf
5-1397-B,Malachite
5-1403,Semi
5-1423-b,Semi
5-1423-c,Semi
5-1426,Semi
5-1430,Semi
5-1439,PRL
5-1446,Semi
5-1448-a,Semi
5-1448-b,Semi
5-1448-c,Semi
5-1449-A,Faroz
5-1449-B,Malachite
5-1450-A,Sadaf
5-1450-B,Malachite
5-1453,PRL
5-1456,Semi
5-1461-A,Semi
5-1461-B,Semi
5-1462,Semi
5-1463,Semi
5-1465,Faroz
5-1473-b,Faroz
5-1474,Semi
5-1478-A,Faroz
5-1479-A,Semi
5-1479-B,Semi
5-1480,Faroz
5-1487,Faroz
5-1489-A,Semi
5-1489-B,Semi
5-1490,Ein
5-1497,Semi
5-1499,Semi
5-1501-A,Semi
5-1503-A,Semi
5-1503-B,Semi
5-1506-a,PRL
5-1506-B,Malachite
5-1508,Semi
5-1509,Sadaf
5-1511,PRL
5-1515,Semi
5-1522,Semi
5-1533,Semi
5-1538,Semi
5-1545-a,Semi
5-1545-b,Semi
5-1545-B,Semi
5-1546,Semi
5-1558,Malachite
5-1561-A,Sadaf
5-1574,Faroz
5-1578,Malachite
5-1587,Malachite
5-1590,Malachite
5-1600-B,Malachite
5-1621-a,Malachite
5-1621-b,Malachite
5-1623,Ein
5-1624,Ein
5-1636,Ein
5-1637,Ein
5-1646,Sadaf
5-1647,PRL
5-1654-A,Semi
5-1654-B,Semi
5-1682,Semi
5-1683,Semi
5-1684,Semi
5-1688,Faroz
5-1688,Faroz
5-1693,Semi
5-1700-A,Semi
5-1700-B,Semi
5-1706-a,sadaf
5-1707,Semi
5-1711,Semi
5-1713-A,Semi
5-1713-B,Semi
5-1737,Malachite
5-1739,Semi
5-1740,Semi
5-1741,Semi
5-1747,Faroz
5-1747,Faroz
5-1753,Faroz
5-1759,PRL
5-1762,Semi
5-1764,Semi
5-1767,Ein
5-1770-A,Semi
5-1770-B,Semi
5-1771-A,Semi
5-1771-B,Semi
5-1771-C,Semi
5-1778,Semi
5-1821,Malachite
5-1831,Semi
5-1832,Semi
5-1833,Semi
5-1834,Semi
5-1840,Semi
5-1849,Semi
5-1851,Semi
5-1854,Semi
5-1855,Semi
5-1856,Semi
5-1859,Semi france
5-1861,Semi france
5-1862,PRL
5-1864,Semi
5-1865,Semi
5-1866,Semi
5-1874-A,Semi
5-1876,Semi
5-1892,Semi
5-1892,PRL
5-1897,Semi france
5-1901,Semi
5-1924,PRL
5-1942,Semi
5-1949,Semi
7-0014,PRL
7-0019,Sadaf
7-0034,Semi
7-0035,Semi
7-0036,Semi
7-0037,Semi
7-0039,PRL
7-0040,PRL
7-0078,Semi
7-0079,Semi
7-0085,PRL
7-0086,PRL
7-0087,PRL
7-0095,Semi
7-0096,Semi
7-0097-A,Semi
7-0097-B,Semi
7-0098,Semi
7-0099,Semi
7-0100,Semi
7-0101,Semi
7-0102,Semi
7-0103,Semi
7-0104,Semi
7-0105,Semi
7-0106,Semi
7-0107,Semi
7-0108,Semi
7-0109,Semi
7-0110,Semi
7-0111,Semi
7-0112,Semi
7-0113,Semi
7-0114,Semi
7-0115,Semi
7-0116,Semi
7-0117,Semi
7-0118,Semi
7-0140,PRL
7-0141,PRL
7-0158,Semi
7-0159,Semi
7-0160,Semi
7-0161,Semi
7-0162,Semi
7-0163,Semi
7-0164,Semi
7-0166,Semi
7-0167,Semi
7-0168,Semi
7-0171,Semi
7-0173,Semi
7-0175,Semi
7-0179,PRL
7-0181,Semi
7-0182,Semi
7-0183,Semi
7-0184,Semi
7-0197,PRL
7-0208,Semi
7-0221,PRL
7-0222,PRL
7-0223,PRL
7-0225,PRL
7-0226,PRL
7-0227,PRL
7-0231,PRL
7-0234,Ein
7-0241,Semi
7-0242,Semi
7-0243,Semi
7-0244,Semi
7-0245,Semi
7-0246,Semi
7-0247,Semi
7-0248,Semi
7-0249,Semi
7-0250,Semi
7-0251,Semi
7-0252,Semi
7-0253,Ein
7-0274,Semi
7-0276,Semi
7-0277,Semi
7-0279,Semi
7-0280,Semi
7-0290,Semi
7-0331,Ein
7-0335,PRL
7-0336,PRL
7-0337,Semi
7-0338,Semi
7-0339,Semi
7-0350,Semi
7-0352,Semi
7-0353,Semi
7-0354,Semi
7-0357,PRL
7-0374,Semi
7-0395,Semi
7-0399,Semi
7-0400,Semi
7-0401,Semi
7-0402,Semi
7-0403,Semi
7-0404,Semi
7-0405-A,Semi
7-0405-B,Semi
7-0407,Semi
7-0408,Semi
7-0409,Semi
7-0410,Semi
7-0412,Semi
7-0486,Ein
7-0505,Ein
7-0526,Semi
7-0537,Onyx
7-0550,Semi
7-0552,Semi
7-0623,Semi
7-0628,Semi
7-0656,PRL
7-0661,PRL
7-0664,PRL
7-0665,Semi
7-0666,Semi
7-0707,Semi
7-0708-A,Semi
7-0708-C,Semi
7-0709,Semi
7-0710,Semi
7-0713,Semi
7-0714,Semi
7-0715,Semi
7-0716,Semi
7-0717,Semi
7-0718,Semi
7-0719,Semi
7-0721,Semi
7-0726,Semi
7-0727,Semi
7-0728,Semi
7-0741,Semi
7-0800,PRL
7-0801,Semi
7-0806,Semi
7-0813-A,Semi
7-0813-B,Semi
7-0813-C,Onyx
7-0814,Malachite
7-0817,Semi
7-0819,Semi
7-0833,Semi
7-0834,Semi
7-0836,Semi
7-0838,Semi
7-0847,Semi
7-0850,Semi
7-0852,Semi
7-0853,Semi
7-0856,Semi
7-0867,Semi
7-0868,Semi
7-0869-A,Sadaf
7-0869-B,Malachite
7-0869-C,Malachite
7-0873,Semi
7-0874,Semi
7-0875-A,Semi
7-0881,Semi
7-0882,Semi
7-0884,Semi
7-0885,Semi
7-0886,Semi
7-0887,Semi
7-0894,Semi
7-0895-A,Semi
7-0896,Ein
7-0897,Semi
7-0898,Ein
7-0903-a,Onyx
7-0903-b,color
7-0910-B,Malachite
7-0911,Blue
7-0914,Semi
7-0914-A,Semi
7-0915-B,PRL
7-0916,PRL
7-0919,PRL
7-0921,PRL
7-0926,PRL
7-0933-A,Semi
7-0933-B,Faroz
7-0934-A,Semi
7-0934-B,Semi
7-0935,Semi
7-0942,Semi
7-0943,Semi
7-0945-A,Semi
7-0945-A,PRL
7-0945-B,Semi
7-0945-B,PRL
7-0950,Faroz
7-0952,Semi
7-0954,Semi
7-0955,Semi
7-0956,Semi
7-0958-C,Sadaf
7-0959,Semi
7-0960,Semi
7-0961-A,Semi
7-0962,Semi
7-0964-a,Semi
7-0964-b,Semi
7-0966,Semi
7-0967-A,Semi
7-0967-B,Semi
7-0967-C,Semi
7-0972,Semi
7-0973-A,Semi
7-0973-B,Semi
7-0985-A,Semi
7-0989,Blue
7-0998,PRL
7-1000,Semi
7-1004,Semi
7-1005,Semi
7-1016,PRL
7-1019,Semi
7-1020,Semi
7-1021,Semi
7-1022,Semi
7-1023,Semi
7-1029,Faroz
7-1030,Malachite
7-1042,Semi
7-1043,Semi
7-1044,Semi
7-1045,Semi
7-1046,Semi
7-1047,Semi
7-1048,Semi
7-1049,Semi
7-1052,Semi
7-1055,Semi
7-1056,Semi
7-1057,Semi
7-1058,Semi
7-1059,Semi
7-1060,Semi
7-1061,Semi
7-1062,Semi
7-1063,Semi
7-1064,Semi
7-1065,Semi
7-1067,Semi
7-1073-A,Semi
7-1073-B,Semi
7-1074,Semi
7-1075-A,Semi
7-1075-B,Semi
7-1075-C,Semi
7-1075-D,Semi
7-1076,Semi
7-1077,Semi
7-1078,Semi
7-1079,Semi
7-1080,Semi
7-1082,Semi
7-1090,Semi
7-1091,Semi
7-1092,Semi
7-1093,Semi
7-1093-a,Semi
7-1093-b,Semi
7-1094,Semi
7-1095,Semi
7-1096,Semi
7-1097,Semi
7-1098,Semi
7-1099,Semi
7-1100,Semi
7-1101,Semi
7-1102,Semi
7-1103,Semi
7-1104,Semi
7-1105,Semi
7-1106,Semi
7-1107,Semi
7-1108,Semi
7-1109,Semi
7-1112,Semi
7-1114,Semi
7-1122,Semi
7-1123,Semi
7-1125-A,Malachite
7-1125-B,Faroz
7-1126-B,Malachite
7-1127-A,Faroz
7-1127-B,Malachite
7-1128,Semi
7-1129,Semi
7-1131,Semi
7-1133-A,Semi
7-1133-B,Semi
7-1138-A,Semi
7-1138-B,Semi
7-1138-C,Semi
7-1144,Semi
7-1151,Semi
7-1154-A,Semi
7-1154-B,Semi
7-1156,Semi
7-1157,Semi
7-1158,Semi
7-1165,Semi
7-1167,Semi
7-1170,Semi
7-1173-A,Semi
7-1173-B,Semi
7-1173-C,Semi
7-1173-D,Semi
7-1183,Semi
7-1184,Semi
7-1187-a,Semi
7-1187-b,Semi
7-1188,Semi
7-1189,Semi
7-1190-A,Semi
7-1190-B,Semi
7-1191,Semi
7-1204,Semi
7-1213,Malachite
7-1214-A,Semi
7-1214-b,Semi
7-1224-A,Malachite
7-1229-B,Semi
7-1232,Semi
7-1245,Semi
7-1246,Semi
7-1247-A,Semi
7-1247-B,Semi
7-1247-C,Semi
7-1249-A,Semi
7-1249-B,Semi
7-1249-C,Semi
7-1250-A,Semi
7-1250-B,Semi
7-1251-A,Semi
7-1251-B,Semi
7-1253-A,Onyx
7-1253-B,Malachite
7-1255-A,Semi
7-1255-B,Semi
7-1255-C,Semi
7-1256-A,Semi
7-1256-B,Semi
7-1256-c,Semi
7-1257-A,Semi
7-1257-B,Semi
7-1259,Semi
7-1260,Semi
7-1261,Semi
7-1262,Semi
7-1265,PRL
7-1266-A,Semi
7-1266-B,Semi
7-1266-C,Semi
7-1267-A,Semi
7-1267-B,Semi
7-1267-C,Semi
7-1268,Semi
7-1270-A,Semi
7-1270-B,Semi
7-1273,Semi
7-1275,Semi
7-1283,Semi
7-1286,Color
7-1288,Market stones 
7-1289-A,Semi
7-1289-B,Semi
7-1294,Semi
7-1301,Semi
7-1302,Semi
7-1311,Semi
7-1312-A,Semi
7-1312-B,Semi
7-1313,Semi
7-1321,Semi
7-1322,Semi
7-1323,Semi
7-1324,Semi
7-1330,Semi
7-1333,Semi
7-1334-A,Semi
7-1334-B,Semi
7-1337-A,Malachite
7-1337-B,Faroz
7-1337-C,Semi
7-1340,Semi
7-1341,Semi
7-1344,Semi france
7-1350,PRL
8-0143,Sadaf
8-0192,Watch
9-0041,Onyx
9-0045,Onyx
9-0051,Faroz
9-0053,Onyx
9-0194,1/4 Pound
5-1416,1 Pound
2-1899,1/2 Pound
1-1068,1 Pound
7-1329,1/4 Pound
5-1338-C,1 Pound
7-1013-A,1/4 Pound
4-0854,1/4 Pound
5-1369,1/2 Pound
2-1928,1 Pound
5-1370,1/4 Pound
5-1290,1 Pound
4-0941,Semi
4-1038-C,Semi
2-1744-c,Semi
7-1363,Semi
4-1238,Semi
1-1245-A,Semi
1-1245-B,Semi
1-1244-A,Semi
1-1244-B,Semi
2-1744-A,Semi
7-1363,Semi
7-1257-c,Semi
7-1257-d,Semi
7-1257-e,Semi
7-1257-F,Semi
4-1026-C,Semi
5-1713-C,Semi
5-1713-D,Semi
2-1952,Semi
2-1953,Semi
5-1229,Semi
5-1999,Semi
5-2001,Semi
4-1252-A,Semi
4-1252-B,Semi
5-2002,Semi
5-2003,Semi
7-1384-A,Semi
7-1384-B,Semi
5-2011-A,Semi
5-2011-B,Semi
7-1386,1/4 Pound
2-1985,Semi
2-1986,Semi
1-1268-B,Semi
1-1276-A,Semi
1-1276-B,Semi
1-1277,Semi
2-1737-B,Semi
1-1276-C,Semi
1-1279-A,Semi
1-1279-B,Semi
1-1279-C,Semi
1-1280-A,Semi
1-1280-B,Semi
1-1280-C,Semi
1-1280-D,Semi
1-1277-B,Semi
4-1292-A,Semi
4-1292-B,Semi
1-1279-d,Semi
7-1414,Semi
4-1324,color
7-1423,PRL
7-1421,Semi
7-1422,Semi
7-1420,Semi
4-1115-c,Semi
